"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 18;  Democracy Status 20;  Trend Democracy;;  Economy Status 18;  Economy Status 20;  Trend Economy;;  Governance Index 18;  Governance Index 20;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  Failed State;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Latvia;1;8;8,75;9;8,90;9,5;10;8;10;10;9,3;9;10;10;8;8,3;9;8;7;9;10,0;10;10;7,5;6;8;8;8;9;8,61;7,0;7;9,3;8;10;10;9;9,5;10;9;10,0;10;10;8,0;8;8;8,0;8;8,5;9;8;8;7,00;2,4;2;4;4;1;1;2,1;8,43;8,7;9;9;8;7,0;7;7;7;8,4;10;9;8;7;8;9,7;9;10;10;;;8,75;8,90;0,15;â;8,61;8,61;0,00;â;7,00;7,00;0,00;â;;;9;10;10;8;9;9;10;0;Dem.;;;8,75;1;Highly advanced;8,90;1;Democracies in consolidation;8,61;1;Highly advanced;7,00;1;Very good;2,4;5;Negligible;8,43;1;Excellent
Lebanon;4;69;5,36;75;5,30;5,5;5;7;6;4;6,0;6;4;8;6;4,8;5;5;3;6;5,0;5;5;5,3;5;6;5;5;72;5,43;4,0;4;7,0;6;5;8;9;7,0;9;5;8,0;8;8;4,5;4;5;4,0;4;3,5;2;5;100;3,98;5,1;8;3;6;4;4;5,9;4,47;4,3;4;4;5;3,0;3;4;2;4,2;6;3;3;5;4;6,3;6;7;6;;;4,87;5,30;0,43;â;5,43;5,43;0,00;â;3,60;3,98;0,39;â;;;6;4;8;6;5;6;4,5;0;Dem.;;;5,36;4;Very limited;5,30;3;Highly defective democracies;5,43;3;Limited;3,98;4;Weak;5,1;3;Moderate;4,47;4;Flawed
Lesotho;5;83;5,03;71;5,45;7,0;7;8;8;5;6,0;8;4;6;6;5,0;4;5;5;6;4,5;4;5;4,8;4;4;6;5;94;4,61;2,0;2;5,3;4;2;8;7;7,0;8;6;6,0;7;5;4,0;3;5;5,0;5;3,0;3;3;108;3,58;6,5;7;7;6;8;6;5,;3,88;3,7;4;4;3;3,7;4;3;4;3,2;4;3;3;4;2;5,0;5;4;6;;;5,60;5,45;-0,15;â;4,79;4,61;-0,18;â;3,59;3,58;-0,01;â;;;8;4;6;6;4;6;6;0;Dem.;;;5,03;4;Very limited;5,45;3;Highly defective democracies;4,61;4;Very limited;3,58;4;Weak;6,5;2;Substantial;3,88;4;Flawed
Liberia;3;65;5,48;46;6,60;7,8;9;8;9;5;7,3;8;7;7;7;5,5;6;5;5;6;7,0;6;8;5,5;5;5;7;5;103;4,36;1,0;1;5,0;4;5;5;6;6,0;6;6;7,0;7;7;3,5;3;4;4,0;4;4,0;5;3;53;5,36;7,1;10;7;4;9;8;4,4;5,73;5,0;6;5;4;4,3;4;5;4;6,6;7;7;7;6;6;7,0;7;7;7;;;6,55;6,60;0,05;â;4,57;4,36;-0,21;â;5,84;5,36;-0,49;â;;;8;7;7;7;6;6;7;0;Dem.;;;5,48;4;Very limited;6,60;2;Defective democracies;4,36;4;Very limited;5,36;3;Moderate;7,1;2;Substantial;5,73;3;Fair
Libya;4;130;2,53;131;2,45;1,8;1;2;3;1;2,8;3;1;3;4;2,8;3;3;3;2;2,0;2;2;3,0;3;4;n/a;2;129;2,61;3,0;3;2,3;2;3;2;2;3,5;4;3;2,5;2;3;1,5;1;2;3,0;3;2,5;2;3;129;2,31;7,1;9;7;9;5;4;8,8;2,47;2,7;3;1;4;1,3;1;1;2;2,2;3;2;1;2;3;3,7;3;3;5;;;2,57;2,45;-0,12;â;2,64;2,61;-0,04;â;2,29;2,31;0,02;â;;;3;1;3;4;3;2;1;6;Aut.;;;2,53;5;Failed;2,45;5;Hard-line autocracies;2,61;5;Rudimentary;2,31;5;Failed;7,1;2;Substantial;2,47;5;Poor
Lithuania;1;4;9,30;4;9,50;10,0;10;10;10;10;9,8;10;10;10;9;9,8;10;10;10;9;10,0;10;10;8,0;7;8;9;8;5;9,11;8,0;8;9,8;9;10;10;10;10,0;10;10;10,0;10;10;8,5;8;9;9,0;9;8,5;9;8;6;7,18;1,4;1;3;1;1;1;1,1;8,88;8,3;9;8;8;8,3;9;8;8;9,2;10;10;8;9;9;9,7;10;10;9;;;9,45;9,50;0,05;â;9,04;9,11;0,07;â;7,18;7,18;0,00;â;;;10;10;10;9;10;9;10;0;Dem.;;;9,30;1;Highly advanced;9,50;1;Democracies in consolidation;9,11;1;Highly advanced;7,18;1;Very good;1,4;5;Negligible;8,88;1;Excellent
Madagascar;5;81;5,04;73;5,40;6,8;6;8;8;5;5,8;7;7;5;4;4,3;4;4;4;5;6,0;5;7;4,3;4;5;4;4;92;4,68;2,0;2;5,3;4;5;6;6;7,0;7;7;6,0;5;7;3,5;3;4;5,0;5;4,0;5;3;52;5,38;7,1;8;7;5;10;7;5,5;5,75;5,7;5;6;6;4,0;4;4;4;6,0;7;5;6;5;7;7,3;8;7;7;;;5,35;5,40;0,05;â;4,68;4,68;0,00;â;5,12;5,38;0,25;â;;;7;7;5;4;4;5;5,5;0;Dem.;;;5,04;4;Very limited;5,40;3;Highly defective democracies;4,68;4;Very limited;5,38;3;Moderate;7,1;2;Substantial;5,75;3;Fair
Malawi;5;67;5,41;53;6,35;7,5;9;8;7;6;7,3;7;7;8;7;5,5;5;7;4;6;6,5;6;7;5,0;4;5;6;5;101;4,46;2,0;2;5,8;4;6;6;7;5,5;6;5;6,5;6;7;4,0;3;5;4,0;4;3,5;3;4;42;5,70;6,9;8;7;5;10;7;4,5;6,12;6,3;7;6;6;4,3;4;5;4;6,8;7;9;7;6;5;7,0;7;6;8;;;6,45;6,35;-0,10;â;4,54;4,46;-0,07;â;5,61;5,70;0,09;â;;;7;7;8;7;5;6;7,5;0;Dem.;;;5,41;4;Very limited;6,35;2;Defective democracies;4,46;4;Very limited;5,70;2;Good;6,9;2;Substantial;6,12;2;Sound
Malaysia;7;39;6,57;63;5,85;8,0;9;8;6;9;5,5;6;5;5;6;5,5;5;5;6;6;5,0;5;5;5,3;6;5;5;5;21;7,29;7,0;7;7,5;7;7;7;9;8,0;9;7;8,0;9;7;6,5;7;6;8,0;8;6,0;5;7;40;5,71;4,0;4;6;5;3;2;4,3;6,58;5,7;6;5;6;6,7;6;7;7;6,0;6;6;6;6;n/a;8,0;7;8;9;;;4,78;5,85;1,07;ã;7,21;7,29;0,07;â;5,20;5,71;0,51;æ;;;6;5;5;6;5;6;9;0;Dem.;;;6,57;3;Limited;5,85;3;Highly defective democracies;7,29;2;Advanced;5,71;2;Good;4,0;4;Minor;6,58;2;Sound
Mali;3;79;5,06;65;5,80;5,5;4;7;6;5;6,8;7;7;7;6;4,5;4;4;4;6;6,0;6;6;6,3;4;7;7;7;104;4,32;1,0;1;5,3;4;4;6;7;6,5;8;5;5,5;5;6;4,0;4;4;5,0;5;3,0;3;3;61;5,19;7,3;8;4;7;9;10;6,;5,52;5,3;5;5;6;4,3;4;5;4;5,4;6;6;4;5;6;7,0;7;6;8;;;5,95;5,80;-0,15;â;4,32;4,32;0,00;â;5,17;5,19;0,02;â;;;7;7;7;6;4;6;4,5;0;Dem.;;;5,06;4;Very limited;5,80;3;Highly defective democracies;4,32;4;Very limited;5,19;3;Moderate;7,3;2;Substantial;5,52;3;Fair
Mauritania;3;102;4,22;91;4,27;6,3;9;6;4;6;4,3;3;2;6;6;4,0;3;4;4;5;2,5;3;2;4,3;5;4;n/a;4;106;4,18;3,0;3;3,8;3;2;5;5;5,5;6;5;5,0;5;5;3,5;4;3;5,0;5;3,5;4;3;98;4,00;7,3;8;8;5;8;9;5,9;4,25;3,7;4;4;3;3,3;4;3;3;4,0;3;4;4;4;5;6,0;5;6;7;;;4,22;4,27;0,05;â;4,21;4,18;-0,04;â;4,06;4,00;-0,06;â;;;3;2;6;6;3;5;7,5;3;Aut.;;;4,22;4;Very limited;4,27;4;Moderate autocracies;4,18;4;Very limited;4,00;4;Weak;7,3;2;Substantial;4,25;4;Flawed
Mauritius;5;12;8,26;11;8,60;9,3;10;9;8;10;8,8;9;10;9;7;8,3;9;9;7;8;9,0;9;9;7,8;8;8;9;6;14;7,93;6,0;6;8,5;9;7;9;9;9,0;10;8;9,0;8;10;7,0;8;6;9,0;9;7,0;7;7;10;6,73;2,4;3;4;1;2;2;2,3;8,10;8,0;8;8;8;6,7;7;8;5;8,8;10;10;8;7;n/a;9,0;9;9;9;;;8,50;8,60;0,10;â;8,00;7,93;-0,07;â;6,64;6,73;0,09;â;;;9;10;9;7;9;8;10;0;Dem.;;;8,26;2;Advanced;8,60;1;Democracies in consolidation;7,93;2;Advanced;6,73;2;Good;2,4;5;Negligible;8,10;1;Excellent
Mexico;2;50;6,20;59;6,05;7,0;5;8;8;7;6,3;7;6;7;5;5,0;7;5;4;4;6,5;6;7;5,5;6;6;5;5;40;6,36;6,0;6;7,5;6;6;10;8;7,5;9;6;7,0;6;8;5,5;6;5;6,0;6;5,0;5;5;65;5,02;5,0;6;6;7;3;3;5,;5,65;5,3;6;5;5;4,7;5;6;3;5,6;8;5;5;5;5;7,0;7;6;8;;;6,10;6,05;-0,05;â;6,36;6,36;0,00;â;5,17;5,02;-0,15;â;;;7;6;7;5;7;4;6;0;Dem.;;;6,20;3;Limited;6,05;2;Defective democracies;6,36;3;Limited;5,02;3;Moderate;5,0;3;Moderate;5,65;3;Fair
Moldova;6;61;5,78;65;5,80;7,3;6;7;9;7;6,0;6;5;7;6;4,5;4;4;4;6;6,0;6;6;5,3;6;5;5;5;60;5,75;4,0;4;6,8;6;6;9;6;7,5;8;7;6,5;6;7;5,5;5;6;5,0;5;5,0;5;5;70;4,87;5,2;8;6;4;6;2;5,1;5,45;5,3;4;6;6;5,0;6;6;3;5,8;6;6;6;6;5;5,7;6;4;7;;;6,20;5,80;-0,40;â;5,71;5,75;0,04;â;5,15;4,87;-0,28;â;;;6;5;7;6;4;6;6,5;0;Dem.;;;5,78;3;Limited;5,80;3;Highly defective democracies;5,75;3;Limited;4,87;3;Moderate;5,2;3;Moderate;5,45;3;Fair
Mongolia;6;37;6,65;28;7,30;9,0;10;10;10;6;7,8;8;7;9;7;6,3;7;6;5;7;7,0;7;7;6,5;6;7;7;6;56;6,00;5,0;5;7,0;7;7;7;7;6,5;6;7;6,5;6;7;6,0;6;6;6,0;6;5,0;5;5;33;5,87;4,2;7;6;2;6;1;3,4;6,73;6,0;6;6;6;4,7;5;5;4;8,3;9;9;8;7;n/a;8,0;7;7;10;;;7,40;7,30;-0,10;â;5,79;6,00;0,21;â;5,96;5,87;-0,10;â;;;8;7;9;7;7;7;8;0;Dem.;;;6,65;3;Limited;7,30;2;Defective democracies;6,00;3;Limited;5,87;2;Good;4,2;4;Minor;6,73;2;Sound
Montenegro;1;21;7,21;27;7,35;9,0;10;8;8;10;7,3;6;9;8;6;6,8;6;7;6;8;6,5;7;6;7,3;7;8;8;6;26;7,07;7,0;7;8,0;7;8;10;7;7,5;9;6;8,0;8;8;7,0;7;7;6,0;6;6,0;6;6;15;6,63;3,4;5;4;3;4;1;3,1;7,78;7,3;8;7;7;6,7;5;8;7;7,8;10;8;7;7;7;9,3;9;9;10;;;7,55;7,35;-0,20;â;7,14;7,07;-0,07;â;6,49;6,63;0,15;â;;;6;9;8;6;6;8;10;0;Dem.;;;7,21;2;Advanced;7,35;2;Defective democracies;7,07;2;Advanced;6,63;2;Good;3,4;4;Minor;7,78;2;Sound
Morocco;4;94;4,70;104;3,68;6,8;8;7;6;6;2,8;3;2;3;3;3,3;2;2;4;5;2,0;2;2;3,7;3;4;n/a;4;62;5,71;3,0;3;6,0;5;4;8;7;7,5;8;7;7,0;7;7;4,0;4;4;7,0;7;5,5;6;5;88;4,40;5,8;7;5;4;7;6;6,;4,85;4,7;5;5;4;3,7;4;4;3;4,4;5;3;5;3;6;6,7;7;7;6;;;3,80;3,68;-0,12;â;5,43;5,71;0,29;â;4,28;4,40;0,12;â;;;3;2;3;3;2;5;7;5;Aut.;;;4,70;4;Very limited;3,68;5;Hard-line autocracies;5,71;3;Limited;4,40;3;Moderate;5,8;3;Moderate;4,85;4;Flawed
Mozambique;5;101;4,24;86;4,48;7,0;5;9;9;5;4,8;6;5;4;4;3,0;3;3;3;3;3,0;3;3;4,7;6;3;n/a;5;109;4,00;1,0;1;4,5;4;3;5;6;5,0;6;4;6,0;6;6;3,5;3;4;4,0;4;4,0;5;3;86;4,41;7,5;8;7;5;10;9;6,;4,67;4,7;5;5;4;3,3;3;4;3;5,0;6;4;5;5;5;5,7;5;3;9;;;4,48;4,48;0,00;â;4,14;4,00;-0,14;â;4,25;4,41;0,16;â;;;6;5;4;4;3;3;5;2;Aut.;;;4,24;4;Very limited;4,48;4;Moderate autocracies;4,00;4;Very limited;4,41;3;Moderate;7,5;2;Substantial;4,67;4;Flawed
Myanmar;7;121;3,28;115;3,30;3,8;4;3;5;3;4,5;7;3;4;4;2,8;4;3;2;2;2,5;2;3;3,0;3;3;n/a;3;120;3,25;2,0;2;3,3;3;3;4;3;3,5;4;3;2,5;2;3;2,5;3;2;6,0;6;3,0;3;3;107;3,59;8,3;9;8;9;8;8;7,8;3,73;3,3;3;3;4;3,0;3;3;3;3,6;4;3;3;4;4;5,0;6;4;5;;;3,50;3,30;-0,20;â;3,25;3,25;0,00;â;3,97;3,59;-0,38;â;;;7;3;4;4;4;2;3,5;2;Aut.;;;3,28;5;Failed;3,30;5;Hard-line autocracies;3,25;4;Very limited;3,59;4;Weak;8,3;2;Substantial;3,73;4;Flawed
Namibia;5;41;6,46;24;7,50;8,3;10;8;9;6;8,5;9;9;8;8;6,8;6;9;5;7;7,5;7;8;6,5;7;7;7;5;72;5,43;3,0;3;7,5;6;7;8;9;6,5;8;5;6,5;7;6;6,0;6;6;4,0;4;4,5;5;4;62;5,15;4,6;6;4;4;5;5;3,5;5,85;5,0;6;5;4;4,7;4;5;5;6,4;8;9;6;5;4;7,3;7;7;8;;;7,50;7,50;0,00;â;5,50;5,43;-0,07;â;5,49;5,15;-0,34;â;;;9;9;8;8;6;7;8;0;Dem.;;;6,46;3;Limited;7,50;2;Defective democracies;5,43;3;Limited;5,15;3;Moderate;4,6;3;Moderate;5,85;3;Fair
Nepal;7;75;5,21;63;5,85;5,8;7;6;6;4;7,0;8;5;7;8;5,0;5;6;4;5;6,5;6;7;5,0;5;5;6;4;96;4,57;3,0;3;5,5;5;5;6;6;6,0;5;7;5,0;5;5;3,0;2;4;6,0;6;3,5;4;3;90;4,34;7,1;9;7;6;9;6;5,6;4,63;3,7;4;3;4;3,7;4;4;3;5,2;6;6;5;4;5;6,0;6;5;7;;;4,90;5,85;0,95;æ;4,14;4,57;0,43;â;3,74;4,34;0,60;æ;;;8;5;7;8;5;5;5,5;0;Dem.;;;5,21;4;Very limited;5,85;3;Highly defective democracies;4,57;4;Very limited;4,34;3;Moderate;7,1;2;Substantial;4,63;4;Flawed
Nicaragua;2;98;4,34;94;4,03;7,0;6;8;8;6;3,5;5;3;2;4;2,5;2;2;3;3;2,5;2;3;4,7;3;6;n/a;5;93;4,64;3,0;3;5,5;4;5;8;5;6,0;7;5;5,5;5;6;4,5;4;5;4,0;4;4,0;4;4;124;2,77;5,7;6;4;6;7;5;6,3;3,07;3,3;3;5;2;3,3;3;5;2;2,6;4;2;2;1;4;3,0;3;3;3;;;4,92;4,03;-0,88;è;5,36;4,64;-0,71;è;4,22;2,77;-1,44;ä;;;5;3;2;4;2;3;6;5;Aut.;;;4,34;4;Very limited;4,03;4;Moderate autocracies;4,64;4;Very limited;2,77;5;Failed;5,7;3;Moderate;3,07;4;Flawed
Niger;3;85;5,01;57;6,10;5,8;7;8;5;3;6,8;7;7;6;7;5,5;7;5;4;6;6,5;6;7;6,0;7;5;7;5;111;3,93;1,0;1;5,0;4;6;5;5;6,0;8;4;4,5;4;5;3,0;3;3;6,0;6;2,0;3;1;56;5,23;7,6;9;7;5;9;10;5,4;5,53;4,0;3;5;4;4,7;4;7;3;5,8;7;7;7;3;5;7,7;6;8;9;;;6,30;6,10;-0,20;â;3,96;3,93;-0,04;â;5,87;5,23;-0,63;è;;;7;7;6;7;7;6;5;0;Dem.;;;5,01;4;Very limited;6,10;2;Defective democracies;3,93;4;Very limited;5,23;3;Moderate;7,6;2;Substantial;5,53;3;Fair
Nigeria;3;95;4,69;71;5,45;5,3;4;8;5;4;6,8;7;7;7;6;5,3;6;7;4;4;5,5;5;6;4,5;4;4;6;4;111;3,93;2,0;2;5,0;4;3;6;7;4,5;4;5;5,0;5;5;4,0;4;4;4,0;4;3,0;3;3;96;4,04;7,1;8;6;9;7;7;5,8;4,32;3,3;3;3;4;3,3;3;3;4;4,6;6;6;3;4;4;6,0;6;6;6;;;5,35;5,45;0,10;â;3,86;3,93;0,07;â;4,59;4,04;-0,55;è;;;7;7;7;6;6;4;4;0;Dem.;;;4,69;4;Very limited;5,45;3;Highly defective democracies;3,93;4;Very limited;4,04;4;Weak;7,1;2;Substantial;4,32;4;Flawed
North Korea;7;132;2,11;130;2,65;9,0;10;10;10;6;1,0;1;1;1;1;1,3;1;1;2;1;1,0;1;1;1,0;1;1;n/a;1;134;1,57;2,0;2;1,5;2;1;1;2;1,5;2;1;1,0;1;1;2,0;2;2;1,0;1;2,0;1;3;134;1,37;7,1;7;10;2;9;9;5,9;1,47;1,0;1;1;1;2,0;1;3;2;1,2;2;1;1;1;1;1,7;2;1;2;;;2,60;2,65;0,05;â;1,71;1,57;-0,14;â;1,30;1,37;0,07;â;;;1;1;1;1;1;1;8;6;Aut.;;;2,11;5;Failed;2,65;5;Hard-line autocracies;1,57;5;Rudimentary;1,37;5;Failed;7,1;2;Substantial;1,47;5;Poor
North Macedonia;1;22;7,17;30;7,20;8,5;9;8;8;9;7,5;7;8;9;6;6,5;6;7;5;8;6,5;6;7;7,0;7;7;8;6;24;7,14;6,0;6;8,5;7;8;10;9;8,0;9;7;8,5;8;9;7,0;7;7;6,0;6;6,0;6;6;20;6,22;4,4;5;5;5;5;3;3,5;7,10;7,0;7;7;7;5,7;5;7;5;7,4;8;8;7;7;7;8,3;8;8;9;;;6,45;7,20;0,75;æ;7,07;7,14;0,07;â;5,24;6,22;0,97;æ;;;7;8;9;6;6;8;9;0;Dem.;;;7,17;2;Advanced;7,20;2;Defective democracies;7,14;2;Advanced;6,22;2;Good;4,4;4;Minor;7,10;2;Sound
Oman;4;102;4,22;125;2,90;7,3;10;7;4;8;1,5;2;1;2;1;1,8;1;2;2;2;2,0;2;2;2,0;1;2;n/a;3;70;5,54;5,0;5;5,8;6;3;7;7;6,5;8;5;6,5;6;7;5,0;5;5;5,0;5;5,0;5;5;113;3,52;4,1;4;8;3;1;2;6,5;4,05;3,3;3;4;3;4,0;5;4;3;3,2;4;2;4;2;4;5,7;4;7;6;;;3,00;2,90;-0,10;â;5,86;5,54;-0,32;â;3,54;3,52;-0,03;â;;;2;1;2;1;1;2;9;6;Aut.;;;4,22;4;Very limited;2,90;5;Hard-line autocracies;5,54;3;Limited;3,52;4;Weak;4,1;4;Minor;4,05;4;Flawed
Pakistan;7;111;3,96;102;3,75;4,5;5;5;3;5;4,0;6;3;4;3;3,3;4;3;3;3;3,0;3;3;4,0;4;4;n/a;4;106;4,18;3,0;3;5,3;4;4;7;6;4,5;4;5;5,5;5;6;3,0;3;3;5,0;5;3,0;3;3;111;3,54;7,5;8;6;8;8;8;7,1;3,75;4,0;4;4;4;3,0;4;3;2;4,0;5;4;3;4;4;4,0;5;3;4;;;3,70;3,75;0,05;â;4,32;4,18;-0,14;â;3,51;3,54;0,03;â;;;6;3;4;3;4;3;5;3;Aut.;;;3,96;5;Failed;3,75;5;Hard-line autocracies;4,18;4;Very limited;3,54;4;Weak;7,5;2;Substantial;3,75;4;Flawed
Panama;2;26;6,94;35;7,05;8,0;8;9;8;7;7,8;8;8;8;7;6,0;7;5;5;7;7,0;7;7;6,5;7;7;6;6;29;6,82;5,0;5;7,8;7;7;9;8;8,0;8;8;7,5;7;8;5,5;6;5;9,0;9;5,0;5;5;38;5,78;3,5;5;5;3;1;3;4,;6,75;6,7;7;8;5;4,7;4;6;4;8,0;9;9;8;6;n/a;7,7;8;7;8;;;7,30;7,05;-0,25;â;6,93;6,82;-0,11;â;5,72;5,78;0,06;â;;;8;8;8;7;7;7;7,5;0;Dem.;;;6,94;3;Limited;7,05;2;Defective democracies;6,82;3;Limited;5,78;2;Good;3,5;4;Minor;6,75;2;Sound
Papua New Guinea;7;67;5,41;61;6,00;6,0;4;8;8;4;7,5;6;7;9;8;5,8;6;7;4;6;6,0;5;7;4,8;4;5;6;4;85;4,82;3,0;3;5,3;5;5;6;5;6,0;6;6;6,0;6;6;3,5;3;4;6,0;6;4,0;5;3;78;4,69;6,7;8;6;6;7;8;5,1;5,07;4,7;5;4;5;3,7;3;5;3;5,6;7;5;5;5;6;6,3;5;6;8;;;6,30;6,00;-0,30;â;4,86;4,82;-0,04;â;4,78;4,69;-0,09;â;;;6;7;9;8;6;6;4;0;Dem.;;;5,41;4;Very limited;6,00;2;Defective democracies;4,82;4;Very limited;4,69;3;Moderate;6,7;2;Substantial;5,07;3;Fair
Paraguay;2;46;6,32;46;6,60;7,5;6;9;9;6;7,5;8;8;8;6;5,8;8;5;4;6;6,5;6;7;5,8;7;6;5;5;54;6,04;4,0;4;5,8;4;3;8;8;8,5;9;8;6,5;6;7;5,0;5;5;8,0;8;4,5;4;5;35;5,85;5,1;7;6;4;5;4;4,4;6,57;6,7;7;6;7;5,3;6;6;4;6,6;7;7;7;5;7;7,7;7;8;8;;;6,45;6,60;0,15;â;6,04;6,04;0,00;â;6,04;5,85;-0,20;â;;;8;8;8;6;8;6;6;0;Dem.;;;6,32;3;Limited;6,60;2;Defective democracies;6,04;3;Limited;5,85;2;Good;5,1;3;Moderate;6,57;2;Sound
Peru;2;29;6,83;49;6,55;7,5;6;9;8;7;8,0;8;8;8;8;6,3;7;6;6;6;6,5;6;7;4,5;4;5;4;5;25;7,11;5,0;5;8,3;7;8;9;9;9,5;10;9;8,0;7;9;5,5;6;5;8,0;8;5,5;6;5;37;5,79;4,7;6;6;5;4;3;4,1;6,57;5,7;6;6;5;6,0;6;6;6;6,6;7;8;6;6;6;8,0;7;9;8;;;6,60;6,55;-0,05;â;7,11;7,11;0,00;â;5,81;5,79;-0,02;â;;;8;8;8;8;7;6;6,5;0;Dem.;;;6,83;3;Limited;6,55;2;Defective democracies;7,11;2;Advanced;5,79;2;Good;4,7;3;Moderate;6,57;2;Sound
Philippines;7;54;6,09;68;5,75;6,5;5;7;7;7;6,3;7;6;7;5;4,8;5;6;4;4;5,5;6;5;5,8;4;7;6;6;37;6,43;5,0;5;7,0;6;5;8;9;7,0;8;6;6,0;6;6;6,0;5;7;8,0;8;6,0;7;5;69;4,89;5,2;7;4;6;6;3;5,4;5,47;5,3;6;4;6;5,0;4;7;4;5,2;6;4;5;5;6;6,3;6;6;7;;;6,30;5,75;-0,55;è;6,64;6,43;-0,21;â;4,90;4,89;-0,01;â;;;7;6;7;5;5;4;6;0;Dem.;;;6,09;3;Limited;5,75;3;Highly defective democracies;6,43;3;Limited;4,89;3;Moderate;5,2;3;Moderate;5,47;3;Fair
Poland;1;13;8,15;18;7,95;9,3;10;10;8;9;8,8;9;10;9;7;6,8;6;6;7;8;7,0;7;7;8,0;7;9;8;8;12;8,36;8,0;8;9,5;9;10;10;9;8,5;9;8;9,5;10;9;8,5;9;8;8,0;8;6,5;6;7;22;6,15;1,8;2;1;3;1;1;3,;7,52;7,3;8;7;7;7,3;7;8;7;7,4;9;8;7;7;6;8,0;9;8;7;;;8,55;7,95;-0,60;è;8,61;8,36;-0,25;â;6,25;6,15;-0,10;â;;;9;10;9;7;6;8;9,5;0;Dem.;;;8,15;2;Advanced;7,95;2;Defective democracies;8,36;1;Highly advanced;6,15;2;Good;1,8;5;Negligible;7,52;2;Sound
Qatar;4;58;5,90;98;3,90;8,5;10;8;6;10;2,3;2;1;2;4;3,8;2;3;4;6;2,0;2;2;3,0;1;3;n/a;5;16;7,89;8,0;8;7,8;7;7;9;8;8,0;7;9;9,0;9;9;6,5;7;6;9,0;9;7,0;6;8;45;5,46;3,6;2;9;2;1;3;4,9;6,35;5,0;5;5;5;7,7;8;9;6;4,8;7;2;7;3;n/a;8,0;9;7;8;;;3,73;3,90;0,17;â;8,04;7,89;-0,14;â;5,40;5,46;0,06;â;;;2;1;2;4;2;6;10;4;Aut.;;;5,90;3;Limited;3,90;5;Hard-line autocracies;7,89;2;Advanced;5,46;3;Moderate;3,6;4;Minor;6,35;2;Sound
