"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 20;  Democracy Status 22;  Trend Democracy;;  Economy Status 20;  Economy Status 22;  Trend Economy;;  Governance Index 20;  Governance Index 22;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  Failed State;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Latvia;1;7;8,80;8;9,00;9,5;10;8;10;10;9,5;9;10;10;9;8,5;9;9;7;9;10,0;10;10;7,5;6;8;8;8;8;8,61;7,0;7;9,3;8;10;10;9;9,5;10;9;10,0;10;10;8,0;8;8;8,0;8;8,5;9;8;6;7,11;2,0;2;3;3;1;1;2,;8,65;8,7;9;9;8;7,7;8;7;8;8,6;10;10;8;7;8;9,7;9;10;10;;;8,90;9,00;0,10;â;8,61;8,61;0,00;â;7,00;7,11;0,11;â;;;9;10;10;9;9;9;10;0;Dem.;;;8,80;1;Highly advanced;9,00;1;Democracies in consolidation;8,61;1;Highly advanced;7,11;1;Very good;2,0;5;Negligible;8,65;1;Excellent
Lebanon;4;88;4,68;67;5,35;5,5;5;7;6;4;5,8;6;4;7;6;4,8;5;5;3;6;5,0;5;5;5,8;5;6;5;7;108;4,00;3,0;3;5,0;5;2;8;5;3,0;4;2;7,0;7;7;4,5;4;5;2,0;2;3,5;2;5;118;3,05;5,3;8;3;7;4;4;5,9;3,40;2,7;2;3;3;2,7;3;3;2;3,6;4;3;3;4;4;4,7;4;5;5;;;5,30;5,35;0,05;â;5,43;4,00;-1,43;ä;3,98;3,05;-0,94;è;;;6;4;7;6;5;6;4,5;0;Dem.;;;4,68;4;Very limited;5,35;3;Highly defective democracies;4,00;4;Very limited;3,05;4;Weak;5,3;3;Moderate;3,40;4;Flawed
Lesotho;5;72;5,05;64;5,45;7,0;7;8;8;5;6,0;8;4;7;5;5,3;4;6;5;6;4,5;4;5;4,5;4;4;5;5;86;4,64;2,0;2;5,5;5;2;8;7;7,0;8;6;6,0;7;5;4,0;3;5;5,0;5;3,0;3;3;103;3,84;6,6;8;7;6;8;6;4,9;4,15;3,7;5;3;3;3,7;4;3;4;3,6;5;4;3;4;2;5,7;6;5;6;;;5,45;5,45;0,00;â;4,61;4,64;0,04;â;3,58;3,84;0,26;â;;;8;4;7;5;4;6;6;0;Dem.;;;5,05;4;Very limited;5,45;3;Highly defective democracies;4,64;4;Very limited;3,84;4;Weak;6,6;2;Substantial;4,15;4;Flawed
Liberia;3;65;5,28;45;6,45;7,5;9;7;9;5;7,5;8;7;7;8;5,3;6;5;4;6;6,5;5;8;5,5;5;5;7;5;104;4,11;1,0;1;4,8;4;5;4;6;6,0;6;6;7,0;7;7;3,5;3;4;3,0;3;3,5;4;3;59;5,01;7,1;10;7;4;9;8;4,6;5,35;4,7;5;5;4;4,0;4;5;3;6,4;7;7;7;5;6;6,3;6;6;7;;;6,60;6,45;-0,15;â;4,36;4,11;-0,25;â;5,36;5,01;-0,35;â;;;8;7;7;8;6;6;7;0;Dem.;;;5,28;4;Very limited;6,45;2;Defective democracies;4,11;4;Very limited;5,01;3;Moderate;7,1;2;Substantial;5,35;3;Fair
Libya;4;131;2,43;133;2,40;2,3;2;3;3;1;2,5;3;1;3;3;2,3;2;2;3;2;2,0;2;2;3,0;3;4;n/a;2;129;2,46;3,0;3;2,3;2;3;3;1;4,0;4;4;2,0;2;2;2,0;1;3;2,0;2;2,0;1;3;127;2,45;6,6;9;6;8;4;4;8,8;2,65;3,0;3;2;4;1,3;1;1;2;2,6;3;3;2;2;3;3,7;3;3;5;;;2,45;2,40;-0,05;â;2,61;2,46;-0,14;â;2,31;2,45;0,14;â;;;3;1;3;3;2;2;1,5;7;Aut.;;;2,43;5;Failed;2,40;5;Hard-line autocracies;2,46;5;Rudimentary;2,45;5;Failed;6,6;2;Substantial;2,65;5;Poor
Lithuania;1;4;9,27;4;9,50;10,0;10;10;10;10;9,8;10;10;10;9;9,8;10;10;10;9;10,0;10;10;8,0;7;8;9;8;5;9,04;8,0;8;9,8;9;10;10;10;9,5;10;9;10,0;10;10;8,5;8;9;9,0;9;8,5;9;8;3;7,21;1,2;1;2;1;1;1;1,1;8,97;8,3;9;8;8;8,3;9;8;8;9,2;10;10;8;9;9;10,0;10;10;10;;;9,50;9,50;0,00;â;9,11;9,04;-0,07;â;7,18;7,21;0,03;â;;;10;10;10;9;10;9;10;0;Dem.;;;9,27;1;Highly advanced;9,50;1;Democracies in consolidation;9,04;1;Highly advanced;7,21;1;Very good;1,2;5;Negligible;8,97;1;Excellent
Madagascar;5;92;4,50;81;4,57;6,0;5;7;8;4;5,3;7;7;4;3;4,3;4;4;4;5;3,0;3;3;4,3;4;5;n/a;4;94;4,43;1,0;1;5,5;4;5;7;6;6,5;7;6;5,5;5;6;3,5;3;4;5,0;5;4,0;5;3;62;4,94;7,0;8;7;5;9;7;5,9;5,30;4,3;4;4;5;4,0;4;4;4;6,2;8;5;6;5;7;6,7;6;7;7;;;5,40;4,57;-0,83;è;4,68;4,43;-0,25;â;5,38;4,94;-0,43;â;;;7;7;4;3;4;5;4,5;1;Aut.;;;4,50;4;Very limited;4,57;4;Moderate autocracies;4,43;4;Very limited;4,94;3;Moderate;7,0;2;Substantial;5,30;3;Fair
Malawi;5;62;5,47;42;6,55;7,8;9;9;8;5;7,5;7;8;8;7;6,0;5;9;4;6;6,5;6;7;5,0;4;5;6;5;95;4,39;1,0;1;5,8;4;6;6;7;5,5;6;5;7,0;6;8;4,0;3;5;4,0;4;3,5;3;4;35;5,64;6,5;8;5;5;10;7;4,1;6,12;5,7;6;6;5;4,7;4;5;5;6,8;7;9;7;6;5;7,3;7;7;8;;;6,35;6,55;0,20;â;4,46;4,39;-0,07;â;5,70;5,64;-0,05;â;;;7;8;8;7;5;6;7;0;Dem.;;;5,47;4;Very limited;6,55;2;Defective democracies;4,39;4;Very limited;5,64;2;Good;6,5;2;Substantial;6,12;2;Sound
Malaysia;7;43;6,24;68;5,30;8,0;9;8;6;9;4,8;6;4;4;5;5,0;4;5;6;5;4,0;4;4;4,8;5;5;4;5;20;7,18;7,0;7;7,8;8;7;7;9;8,0;9;7;8,0;9;7;6,5;7;6;7,0;7;6,0;5;7;54;5,15;3,9;4;6;5;2;2;4,5;5,96;4,7;5;4;5;5,7;6;5;6;5,5;6;5;6;5;n/a;8,0;7;8;9;;;5,85;5,30;-0,55;è;7,29;7,18;-0,11;â;5,71;5,15;-0,56;è;;;6;4;4;5;4;5;9;0;Dem.;;;6,24;3;Limited;5,30;3;Highly defective democracies;7,18;2;Advanced;5,15;3;Moderate;3,9;4;Minor;5,96;3;Fair
Mali;3;97;4,36;84;4,40;5,3;3;7;6;5;4,0;3;1;6;6;3,8;3;4;4;4;3,0;3;3;6,0;4;7;n/a;7;98;4,32;1,0;1;5,3;4;4;6;7;6,5;8;5;5,5;5;6;4,0;4;4;5,0;5;3,0;3;3;77;4,66;7,8;8;4;9;9;10;6,5;4,90;4,7;5;4;5;4,3;4;5;4;4,6;5;4;3;5;6;6,0;7;5;6;;;5,80;4,40;-1,40;ä;4,32;4,32;0,00;â;5,19;4,66;-0,53;è;;;3;1;6;6;3;4;4;3;Aut.;;;4,36;4;Very limited;4,40;4;Moderate autocracies;4,32;4;Very limited;4,66;3;Moderate;7,8;2;Substantial;4,90;4;Flawed
Mauritania;3;99;4,30;82;4,42;5,8;8;6;4;5;4,8;4;2;7;6;4,3;3;4;5;5;3,0;3;3;4,3;5;4;n/a;4;100;4,18;3,0;3;3,8;3;2;5;5;5,5;6;5;5,0;5;5;3,5;4;3;5,0;5;3,5;4;3;94;4,00;7,3;8;8;5;8;9;6,;4,25;3,3;4;4;2;3,3;4;3;3;4,0;3;4;4;4;5;6,3;5;7;7;;;4,27;4,42;0,15;â;4,18;4,18;0,00;â;4,00;4,00;0,00;â;;;4;2;7;6;3;5;6,5;3;Aut.;;;4,30;4;Very limited;4,42;4;Moderate autocracies;4,18;4;Very limited;4,00;4;Weak;7,3;2;Substantial;4,25;4;Flawed
Mauritius;5;12;8,17;12;8,55;9,0;10;9;8;9;8,5;8;10;9;7;8,3;9;9;7;8;9,0;9;9;8,0;8;8;9;7;16;7,79;7,0;7;8,5;9;7;9;9;8,5;9;8;8,5;8;9;7,0;8;6;8,0;8;7,0;7;7;11;6,76;2,2;3;4;1;1;2;2,4;8,17;8,0;8;8;8;6,7;7;8;5;9,0;10;10;9;7;n/a;9,0;9;9;9;;;8,60;8,55;-0,05;â;7,93;7,79;-0,14;â;6,73;6,76;0,03;â;;;8;10;9;7;9;8;9,5;0;Dem.;;;8,17;2;Advanced;8,55;1;Democracies in consolidation;7,79;2;Advanced;6,76;2;Good;2,2;5;Negligible;8,17;1;Excellent
Mexico;2;50;6,01;57;5,95;7,3;5;9;8;7;6,3;7;6;7;5;4,8;6;5;4;4;6,0;6;6;5,5;6;6;5;5;43;6,07;6,0;6;7,5;6;6;10;8;7,5;9;6;6,5;6;7;5,5;6;5;5,0;5;4,5;4;5;75;4,69;4,8;6;6;7;3;2;5,;5,30;5,0;5;5;5;4,7;5;6;3;5,2;7;5;5;4;5;6,3;6;6;7;;;6,05;5,95;-0,10;â;6,36;6,07;-0,29;â;5,02;4,69;-0,33;â;;;7;6;7;5;6;4;6;0;Dem.;;;6,01;3;Limited;5,95;3;Highly defective democracies;6,07;3;Limited;4,69;3;Moderate;4,8;3;Moderate;5,30;3;Fair
Moldova;6;56;5,91;53;6,15;7,3;6;7;9;7;7,0;7;6;8;7;5,0;5;5;4;6;6,0;6;6;5,5;6;5;6;5;61;5,68;4,0;4;6,8;6;6;9;6;7,5;8;7;7,0;7;7;5,5;5;6;4,0;4;5,0;5;5;60;4,99;5,0;8;6;4;5;2;4,9;5,62;5,0;4;5;6;5,3;6;6;4;5,8;6;6;6;6;5;6,3;6;5;8;;;5,80;6,15;0,35;â;5,75;5,68;-0,07;â;4,87;4,99;0,12;â;;;7;6;8;7;5;6;6,5;0;Dem.;;;5,91;3;Limited;6,15;2;Defective democracies;5,68;3;Limited;4,99;3;Moderate;5,0;3;Moderate;5,62;3;Fair
Mongolia;6;35;6,45;26;7,25;9,0;10;10;10;6;7,5;8;7;9;6;6,3;7;6;5;7;7,0;7;7;6,5;6;7;7;6;62;5,64;4,0;4;7,0;7;7;7;7;6,0;6;6;6,5;6;7;6,0;6;6;5,0;5;5,0;5;5;26;5,90;4,2;7;6;1;6;2;3,4;6,77;6,0;6;6;6;4,7;5;5;4;8,4;9;9;8;7;9;8,0;7;8;9;;;7,30;7,25;-0,05;â;6,00;5,64;-0,36;â;5,87;5,90;0,03;â;;;8;7;9;6;7;7;8;0;Dem.;;;6,45;3;Limited;7,25;2;Defective democracies;5,64;3;Limited;5,90;2;Good;4,2;4;Minor;6,77;2;Sound
Montenegro;1;22;6,96;27;7,10;8,8;10;8;7;10;7,0;6;8;8;6;6,5;6;6;6;8;6,0;6;6;7,3;7;8;8;6;25;6,82;6,0;6;8,3;7;8;10;8;7,5;9;6;8,0;8;8;7,0;7;7;5,0;5;6,0;6;6;19;6,23;3,2;4;4;4;3;1;3,4;7,33;7,3;8;7;7;6,3;5;7;7;7,0;9;7;6;7;6;8,7;9;9;8;;;7,35;7,10;-0,25;â;7,07;6,82;-0,25;â;6,63;6,23;-0,40;â;;;6;8;8;6;6;8;10;0;Dem.;;;6,96;3;Limited;7,10;2;Defective democracies;6,82;3;Limited;6,23;2;Good;3,2;4;Minor;7,33;2;Sound
Morocco;4;86;4,77;108;3,58;6,8;8;7;6;6;2,5;3;2;3;2;3,0;2;2;4;4;2,0;2;2;3,7;3;4;n/a;4;47;5,96;4,0;4;6,8;5;5;8;9;7,5;8;7;7,0;8;6;4,5;5;4;6,0;6;6,0;7;5;69;4,84;5,7;7;6;4;6;5;6,1;5,35;6,7;7;7;6;3,7;4;4;3;4,4;5;3;5;3;6;6,7;6;7;7;;;3,68;3,58;-0,10;â;5,71;5,96;0,25;â;4,40;4,84;0,44;â;;;3;2;3;2;2;4;7;5;Aut.;;;4,77;4;Very limited;3,58;5;Hard-line autocracies;5,96;3;Limited;4,84;3;Moderate;5,7;3;Moderate;5,35;3;Fair
Mozambique;5;105;4,11;89;4,18;7,0;5;9;9;5;3,5;3;3;4;4;2,8;2;3;3;3;3,0;3;3;4,7;6;3;n/a;5;106;4,04;1,0;1;4,8;4;3;6;6;5,0;6;4;6,0;6;6;3,5;3;4;4,0;4;4,0;5;3;91;4,21;7,9;8;7;7;10;9;6,1;4,42;4,0;4;4;4;3,3;3;4;3;5,0;6;4;5;5;5;5,3;5;4;7;;;4,48;4,18;-0,30;â;4,00;4,04;0,04;â;4,41;4,21;-0,20;â;;;3;3;4;4;2;3;5;4;Aut.;;;4,11;4;Very limited;4,18;4;Moderate autocracies;4,04;4;Very limited;4,21;4;Weak;7,9;2;Substantial;4,42;4;Flawed
Myanmar;7;122;3,20;118;3,15;3,8;4;3;5;3;4,0;6;2;4;4;3,0;4;3;3;2;2,0;2;2;3,0;3;3;n/a;3;118;3,25;2,0;2;3,3;3;3;4;3;4,0;4;4;3,0;3;3;2,5;3;2;5,0;5;3,0;3;3;110;3,53;8,1;9;8;9;8;7;7,6;3,68;3,3;3;3;4;3,0;3;3;3;3,4;4;3;3;3;4;5,0;6;4;5;;;3,30;3,15;-0,15;â;3,25;3,25;0,00;â;3,59;3,53;-0,06;â;;;6;2;4;4;4;2;3,5;2;Aut.;;;3,20;5;Failed;3,15;5;Hard-line autocracies;3,25;4;Very limited;3,53;4;Weak;8,1;2;Substantial;3,68;4;Flawed
Namibia;5;32;6,49;23;7,55;8,3;10;9;9;5;8,8;9;9;9;8;6,8;7;9;4;7;7,5;7;8;6,5;7;7;7;5;68;5,43;3,0;3;7,5;6;6;9;9;6,5;8;5;7,0;7;7;6,0;6;6;4,0;4;4,0;4;4;57;5,07;4,6;6;4;4;5;5;3,5;5,77;5,0;6;5;4;4,3;4;5;4;6,4;8;9;6;5;4;7,3;6;8;8;;;7,50;7,55;0,05;â;5,43;5,43;0,00;â;5,15;5,07;-0,07;â;;;9;9;9;8;7;7;7,5;0;Dem.;;;6,49;3;Limited;7,55;2;Defective democracies;5,43;3;Limited;5,07;3;Moderate;4,6;3;Moderate;5,77;3;Fair
Nepal;7;67;5,23;57;5,95;5,8;7;6;6;4;7,3;8;6;7;8;5,0;5;6;4;5;6,5;6;7;5,3;5;5;6;5;92;4,50;3,0;3;5,5;5;5;6;6;6,0;5;7;5,0;5;5;3,0;2;4;5,0;5;4,0;5;3;81;4,46;6,8;9;7;5;8;6;5,6;4,80;4,3;4;4;5;4,0;4;4;4;5,2;6;6;5;4;5;5,7;6;5;6;;;5,85;5,95;0,10;â;4,57;4,50;-0,07;â;4,34;4,46;0,12;â;;;8;6;7;8;5;5;5,5;0;Dem.;;;5,23;4;Very limited;5,95;3;Highly defective democracies;4,50;4;Very limited;4,46;3;Moderate;6,8;2;Substantial;4,80;4;Flawed
Nicaragua;2;107;4,06;105;3,65;6,8;6;8;8;5;3,5;5;3;2;4;2,0;2;2;2;2;2,0;2;2;4,0;3;4;n/a;5;93;4,46;3,0;3;5,3;4;4;8;5;6,0;7;5;5,5;5;6;4,5;4;5;3,0;3;4,0;4;4;127;2,45;6,1;7;5;5;8;5;6,6;2,68;2,7;3;3;2;3,3;3;5;2;2,4;3;2;2;1;4;2,3;2;2;3;;;4,03;3,65;-0,38;â;4,64;4,46;-0,18;â;2,77;2,45;-0,32;â;;;5;3;2;4;2;2;5,5;5;Aut.;;;4,06;4;Very limited;3,65;5;Hard-line autocracies;4,46;4;Very limited;2,45;5;Failed;6,1;3;Moderate;2,68;5;Poor
Niger;3;80;4,90;57;5,95;5,8;6;8;6;3;6,5;7;7;6;6;5,0;7;5;3;5;6,5;6;7;6,0;7;5;7;5;109;3,86;1,0;1;5,0;4;6;5;5;5,5;8;3;4,5;4;5;3,0;3;3;6,0;6;2,0;3;1;56;5,10;7,8;9;7;6;9;10;5,6;5,37;3,7;3;4;4;4,3;3;7;3;5,8;7;7;7;3;5;7,7;6;8;9;;;6,10;5,95;-0,15;â;3,93;3,86;-0,07;â;5,23;5,10;-0,13;â;;;7;7;6;6;7;5;4,5;0;Dem.;;;4,90;4;Very limited;5,95;3;Highly defective democracies;3,86;4;Very limited;5,10;3;Moderate;7,8;2;Substantial;5,37;3;Fair
Nigeria;3;108;3,91;86;4,25;4,8;4;7;4;4;4,8;5;3;6;5;4,8;5;6;4;4;3,0;3;3;4,0;4;4;n/a;4;113;3,57;2,0;2;4,5;4;3;5;6;4,0;4;4;4,5;4;5;4,0;4;4;3,0;3;3,0;3;3;99;3,95;7,5;9;6;9;8;7;6,3;4,18;3,3;3;3;4;3,3;3;3;4;4,4;6;5;3;4;4;5,7;6;6;5;;;5,45;4,25;-1,20;ä;3,93;3,57;-0,36;â;4,04;3,95;-0,09;â;;;5;3;6;5;5;4;4;2;Aut.;;;3,91;5;Failed;4,25;4;Moderate autocracies;3,57;4;Very limited;3,95;4;Weak;7,5;2;Substantial;4,18;4;Flawed
North Korea;7;133;2,04;131;2,55;8,5;10;10;10;4;1,0;1;1;1;1;1,3;1;1;2;1;1,0;1;1;1,0;1;1;n/a;1;133;1,54;2,0;2;1,3;2;1;1;1;1,5;2;1;1,5;1;2;1,5;1;2;1,0;1;2,0;1;3;135;1,22;7,2;7;10;2;9;9;6,1;1,30;1,0;1;1;1;1,7;1;3;1;1,2;2;1;1;1;1;1,3;2;1;1;;;2,65;2,55;-0,10;â;1,57;1,54;-0,04;â;1,37;1,22;-0,15;â;;;1;1;1;1;1;1;7;6;Aut.;;;2,04;5;Failed;2,55;5;Hard-line autocracies;1,54;5;Rudimentary;1,22;5;Failed;7,2;2;Substantial;1,30;5;Poor
North Macedonia;1;19;7,37;22;7,60;9,0;10;8;9;9;8,0;7;9;9;7;7,0;7;7;6;8;7,0;7;7;7,0;7;7;8;6;21;7,14;6,0;6;8,5;7;8;10;9;8,0;9;7;8,5;8;9;7,0;7;7;6,0;6;6,0;6;6;17;6,30;4,0;6;4;4;5;2;3,;7,27;7,0;7;7;7;5,7;5;7;5;7,4;8;9;7;7;6;9,0;8;10;9;;;7,20;7,60;0,40;â;7,14;7,14;0,00;â;6,22;6,30;0,08;â;;;7;9;9;7;7;8;9,5;0;Dem.;;;7,37;2;Advanced;7,60;2;Defective democracies;7,14;2;Advanced;6,30;2;Good;4,0;4;Minor;7,27;2;Sound
Oman;4;99;4,30;125;2,95;7,3;10;7;4;8;1,5;2;1;2;1;2,0;1;2;3;2;2,0;2;2;2,0;1;2;n/a;3;62;5,64;5,0;5;6,0;6;4;7;7;6,0;7;5;7,0;6;8;6,0;7;5;4,0;4;5,5;6;5;106;3,78;4,1;4;8;3;1;2;6,4;4,35;3,3;3;4;3;4,0;5;4;3;3,4;4;2;4;3;4;6,7;6;7;7;;;2,90;2,95;0,05;â;5,54;5,64;0,11;â;3,52;3,78;0,26;â;;;2;1;2;1;1;2;9;6;Aut.;;;4,30;4;Very limited;2,95;5;Hard-line autocracies;5,64;3;Limited;3,78;4;Weak;4,1;4;Minor;4,35;4;Flawed
Pakistan;7;109;3,89;101;3,75;4,8;6;5;3;5;3,8;6;3;3;3;3,3;4;3;3;3;3,0;3;3;4,0;4;4;n/a;4;106;4,04;3,0;3;5,3;4;4;7;6;4,5;4;5;5,0;4;6;3,5;4;3;4,0;4;3,0;3;3;111;3,48;7,5;8;6;8;8;8;7,;3,68;4,0;4;4;4;3,0;4;3;2;3,4;4;3;3;3;4;4,3;5;4;4;;;3,75;3,75;0,00;â;4,18;4,04;-0,14;â;3,54;3,48;-0,06;â;;;6;3;3;3;4;3;5,5;4;Aut.;;;3,89;5;Failed;3,75;5;Hard-line autocracies;4,04;4;Very limited;3,48;4;Weak;7,5;2;Substantial;3,68;4;Flawed
Panama;2;30;6,58;36;6,80;8,0;8;9;8;7;7,5;8;8;7;7;5,5;6;5;4;7;7,0;7;7;6,0;7;6;5;6;33;6,36;5,0;5;7,5;7;6;9;8;7,5;8;7;7,5;7;8;6,0;6;6;6,0;6;5,0;5;5;43;5,35;3,4;5;5;2;1;3;4,3;6,27;6,0;6;7;5;4,7;4;6;4;7,8;9;9;8;5;n/a;6,7;6;6;8;;;7,05;6,80;-0,25;â;6,82;6,36;-0,46;â;5,78;5,35;-0,43;â;;;8;8;7;7;6;7;7,5;0;Dem.;;;6,58;3;Limited;6,80;2;Defective democracies;6,36;3;Limited;5,35;3;Moderate;3,4;4;Minor;6,27;2;Sound
Papua New Guinea;7;69;5,12;54;6,10;6,0;4;8;8;4;7,3;6;7;8;8;6,0;7;7;4;6;6,5;6;7;4,8;4;5;6;4;103;4,14;3,0;3;5,0;4;5;6;5;5,0;5;5;5,0;5;5;3,0;3;3;4,0;4;4,0;5;3;74;4,74;6,7;8;6;6;7;8;5,;5,12;4,0;4;4;4;4,3;4;5;4;5,8;7;5;5;5;7;6,3;5;6;8;;;6,00;6,10;0,10;â;4,82;4,14;-0,68;è;4,69;4,74;0,04;â;;;6;7;8;8;7;6;4;0;Dem.;;;5,12;4;Very limited;6,10;2;Defective democracies;4,14;4;Very limited;4,74;3;Moderate;6,7;2;Substantial;5,12;3;Fair
Paraguay;2;41;6,29;42;6,55;7,3;6;9;8;6;7,5;8;8;8;6;5,8;8;5;4;6;6,5;6;7;5,8;7;6;5;5;45;6,04;4,0;4;5,8;4;3;8;8;8,5;9;8;6,5;6;7;5,0;5;5;8,0;8;4,5;4;5;32;5,77;5,1;7;6;4;5;4;4,5;6,48;6,3;7;5;7;5,3;6;6;4;6,6;7;7;7;5;7;7,7;7;8;8;;;6,60;6,55;-0,05;â;6,04;6,04;0,00;â;5,85;5,77;-0,07;â;;;8;8;8;6;8;6;6;0;Dem.;;;6,29;3;Limited;6,55;2;Defective democracies;6,04;3;Limited;5,77;2;Good;5,1;3;Moderate;6,48;2;Sound
Peru;2;31;6,56;45;6,45;7,8;7;9;8;7;8,0;8;8;8;8;6,0;6;6;6;6;6,0;5;7;4,5;4;5;4;5;28;6,68;4,0;4;8,3;7;8;9;9;9,5;10;9;8,0;7;9;5,5;6;5;6,0;6;5,5;6;5;32;5,77;4,5;6;6;5;4;2;4,1;6,57;5,7;6;6;5;6,0;6;6;6;6,6;7;8;6;6;6;8,0;7;9;8;;;6,55;6,45;-0,10;â;7,11;6,68;-0,43;â;5,79;5,77;-0,02;â;;;8;8;8;8;6;6;7;0;Dem.;;;6,56;3;Limited;6,45;2;Defective democracies;6,68;3;Limited;5,77;2;Good;4,5;3;Moderate;6,57;2;Sound
Philippines;7;60;5,59;66;5,40;6,5;5;7;7;7;5,8;7;6;6;4;4,5;4;6;4;4;4,5;5;4;5,8;4;7;6;6;55;5,79;4,0;4;7,0;6;5;8;9;7,0;8;6;6,0;6;6;6,0;5;7;5,0;5;5,5;6;5;87;4,31;5,3;7;4;6;6;3;5,5;4,82;4,0;5;3;4;5,0;4;7;4;4,6;6;4;4;4;5;5,7;6;5;6;;;5,75;5,40;-0,35;â;6,43;5,79;-0,64;è;4,89;4,31;-0,58;è;;;7;6;6;4;4;4;6;0;Dem.;;;5,59;3;Limited;5,40;3;Highly defective democracies;5,79;3;Limited;4,31;3;Moderate;5,3;3;Moderate;4,82;4;Flawed
Poland;1;14;7,93;24;7,50;9,0;10;10;7;9;7,8;7;10;8;6;6,3;5;5;7;8;6,5;6;7;8,0;6;9;8;9;10;8,36;8,0;8;9,5;9;9;10;10;8,5;9;8;9,0;10;8;8,5;9;8;8,0;8;7,0;7;7;47;5,30;1,9;2;1;3;1;1;3,4;6,47;6,7;7;7;6;7,0;7;7;7;5,2;7;5;5;4;5;7,0;8;6;7;;;7,95;7,50;-0,45;â;8,36;8,36;0,00;â;6,15;5,30;-0,85;è;;;7;10;8;6;5;8;9,5;0;Dem.;;;7,93;2;Advanced;7,50;2;Defective democracies;8,36;1;Highly advanced;5,30;3;Moderate;1,9;5;Negligible;6,47;2;Sound
Qatar;4;58;5,86;95;3,90;8,5;10;8;6;10;2,3;2;1;2;4;3,8;2;3;4;6;2,0;2;2;3,0;1;3;n/a;5;15;7,82;8,0;8;7,8;7;7;9;8;8,0;7;9;9,0;9;9;6,5;7;6;9,0;9;6,5;5;8;22;6,17;3,6;2;9;2;1;3;4,9;7,19;8,0;8;8;8;7,7;8;9;6;4,8;7;2;7;3;n/a;8,3;9;8;8;;;3,90;3,90;0,00;â;7,89;7,82;-0,07;â;5,46;6,17;0,72;æ;;;2;1;2;4;2;6;10;4;Aut.;;;5,86;3;Limited;3,90;5;Hard-line autocracies;7,82;2;Advanced;6,17;2;Good;3,6;4;Minor;7,19;2;Sound
