year;country_id;ranking_status_index;status_index;ranking_democracy_status;democracy_status;stateness;monopoly_on_the_use_of_force;state_identity;no_interference_of_religious_dogmas;basic_administration;political_participation;association_/_assembly_rights;freedom_of_expression;rule_of_law;civil_rights;stability_of_democratic_institutions;political_and_social_integration;party_system;interest_groups;approval_of_democracy;social_capital;ranking_economy_status;economy_status;organization_of_the_market_and_competition;market_organization;competition_policy;liberalization_of_foreign_trade;banking_system;monetary_and_fiscal_stability;private_property;property_rights;private_enterprise;ranking_governance_index;governance_index;civil_society_traditions;governance_performance;democracy_status_08;democracy_status_10;trend_democracy;economy_status_08;economy_status_10;trend_economy;governance_index_08;governance_index_10;trend_governance;state_failure;total;democracy/autocracy;status_index_score;status_index_category;status_index_status;democracy_status_score;democracy_status_category;democracy_status_status;economy_status_score;economy_status_category;economy_status_status;governance_index_score;governance_index_category;governance_index_status;level_of_difficulty_score;level_of_difficulty_category;level_of_difficulty_status;governance_performance_score;governance_performance_category;governance_performance_status
2016;127;124.0;2.64;126.0;2.38;1.8;1.0;2.0;3.0;1.0;3.8;4.0;6.0;1.8;1.0;2.0;2.7;3.0;4.0;;1.0;119.0;2.89;3.3;2.0;3.0;4.0;4.0;4.0;3.0;2.0;4.0;121.0;2.47;8.0;2.62;4.13;2.38;-1.75;5.11;2.89;-2.21;4.15;2.47;-1.67;1.0;5.0;Aut.;2.64;5.0;Failed;2.38;5.0;Hard-line autocracy;2.89;5.0;Rudimentary;2.47;5.0;Failed;7.5;2.0;Substantial;2.62;5.0;Poor
2022;127;131.0;2.43;133.0;2.4;2.3;2.0;3.0;3.0;1.0;2.5;3.0;3.0;2.3;2.0;2.0;3.0;3.0;4.0;;2.0;129.0;2.46;2.3;2.0;3.0;3.0;1.0;4.0;2.0;2.0;2.0;127.0;2.45;6.0;2.65;2.45;2.4;-0.05;2.61;2.46;-0.14;2.31;2.45;0.14;1.5;7.0;Aut.;2.43;5.0;Failed;2.4;5.0;Hard-line autocracies;2.46;5.0;Rudimentary;2.45;5.0;Failed;6.6;2.0;Substantial;2.65;5.0;Poor
2010;129;7.0;9.04;8.0;9.3;10.0;10.0;10.0;10.0;10.0;9.8;10.0;9.0;9.0;9.0;10.0;7.8;7.0;7.0;9.0;8.0;7.0;8.79;9.5;9.0;10.0;10.0;9.0;9.5;10.0;10.0;10.0;10.0;6.94;4.0;8.5;9.35;9.3;-0.05;8.96;8.79;-0.18;6.76;6.94;0.18;10.0;0.0;Dem.;9.04;1.0;Highly advanced;9.3;1.0;Democracy in consolidation;8.79;1.0;Highly advanced;6.94;2.0;Good;1.8;5.0;Negligible;8.5;1.0;Excellent
2018;129;4.0;9.24;4.0;9.45;10.0;10.0;10.0;10.0;10.0;9.8;10.0;9.0;9.5;9.0;10.0;8.0;7.0;8.0;9.0;8.0;5.0;9.04;9.8;9.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;5.0;7.18;3.0;8.88;9.3;9.45;0.15;9.0;9.04;0.04;7.19;7.18;-0.01;10.0;0.0;Dem.;9.24;1.0;Highly advanced;9.45;1.0;Democracy in consolidation;9.04;1.0;Highly advanced;7.18;1.0;Very good;1.4;5.0;Negligible;8.88;1.0;Excellent
2012;129;7.0;9.03;7.0;9.35;10.0;10.0;10.0;10.0;10.0;9.8;10.0;9.0;9.0;9.0;10.0;8.0;7.0;8.0;9.0;8.0;9.0;8.71;9.5;9.0;10.0;10.0;9.0;9.0;10.0;10.0;10.0;6.0;7.15;4.0;8.8;9.3;9.35;0.05;8.79;8.71;-0.07;6.94;7.15;0.21;10.0;0.0;Dem.;9.03;1.0;Highly advanced;9.35;1.0;Democracy in consolidation;8.71;1.0;Highly advanced;7.15;1.0;Very good;1.6;5.0;Negligible;8.8;1.0;Excellent
2014;129;7.0;8.98;8.0;9.25;10.0;10.0;10.0;10.0;10.0;9.5;10.0;9.0;8.8;8.0;10.0;8.0;7.0;8.0;9.0;8.0;7.0;8.71;9.5;9.0;10.0;10.0;9.0;9.0;10.0;10.0;10.0;8.0;7.08;4.0;8.67;9.35;9.25;-0.1;8.71;8.71;0.0;7.15;7.08;-0.07;10.0;0.0;Dem.;8.98;1.0;Highly advanced;9.25;1.0;Democracy in consolidation;8.71;1.0;Highly advanced;7.08;1.0;Very good;1.8;5.0;Negligible;8.67;1.0;Excellent
2020;129;4.0;9.3;4.0;9.5;10.0;10.0;10.0;10.0;10.0;9.8;10.0;9.0;9.8;9.0;10.0;8.0;7.0;8.0;9.0;8.0;5.0;9.11;9.8;9.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;6.0;7.18;3.0;8.88;9.45;9.5;0.05;9.04;9.11;0.07;7.18;7.18;0.0;10.0;0.0;Dem.;9.3;1.0;Highly advanced;9.5;1.0;Democracies in consolidation;9.11;1.0;Highly advanced;7.18;1.0;Very good;1.4;5.0;Negligible;8.88;1.0;Excellent
2016;129;6.0;9.15;6.0;9.3;10.0;10.0;10.0;10.0;10.0;9.5;10.0;9.0;9.0;9.0;10.0;8.0;7.0;8.0;9.0;8.0;4.0;9.0;9.5;9.0;10.0;10.0;9.0;10.0;10.0;10.0;10.0;6.0;7.19;3.0;8.88;9.25;9.3;0.05;8.71;9.0;0.29;7.08;7.19;0.11;10.0;0.0;Dem.;9.15;1.0;Highly advanced;9.3;1.0;Democracy in consolidation;9.0;1.0;Highly advanced;7.19;1.0;Very good;1.4;5.0;Negligible;8.88;1.0;Excellent
2022;129;4.0;9.27;4.0;9.5;10.0;10.0;10.0;10.0;10.0;9.8;10.0;9.0;9.8;9.0;10.0;8.0;7.0;8.0;9.0;8.0;5.0;9.04;9.8;9.0;10.0;10.0;10.0;9.5;10.0;10.0;10.0;3.0;7.21;2.0;8.97;9.5;9.5;0.0;9.11;9.04;-0.07;7.18;7.21;0.03;10.0;0.0;Dem.;9.27;1.0;Highly advanced;9.5;1.0;Democracies in consolidation;9.04;1.0;Highly advanced;7.21;1.0;Very good;1.2;5.0;Negligible;8.97;1.0;Excellent
2010;132;75.0;5.3;59.0;6.0;7.8;8.0;9.0;8.0;6.0;5.8;5.0;6.0;5.5;6.0;6.0;5.0;5.0;5.0;6.0;4.0;93.0;4.61;5.3;5.0;4.0;6.0;6.0;6.0;5.5;6.0;5.0;54.0;5.47;6.0;5.9;7.45;6.0;-1.45;5.0;4.61;-0.39;6.23;5.47;-0.76;7.0;0.0;Dem.;5.3;4.0;Very limited;6.0;2.0;Defective democracy;4.61;4.0;Very limited;5.47;3.0;Moderate;6.7;2.0;Substantial;5.9;3.0;Fair
2018;132;82.0;5.01;70.0;5.35;6.8;6.0;8.0;8.0;5.0;5.5;5.0;4.0;4.3;5.0;6.0;4.3;4.0;5.0;4.0;4.0;89.0;4.68;5.3;4.0;5.0;6.0;6.0;7.0;6.0;5.0;7.0;61.0;5.12;7.0;5.5;5.4;5.35;-0.05;4.54;4.68;0.14;4.86;5.12;0.27;5.5;0.0;Dem.;5.01;4.0;Very limited;5.35;3.0;Highly defective democracy;4.68;4.0;Very limited;5.12;3.0;Moderate;6.9;2.0;Substantial;5.5;3.0;Fair
2012;132;100.0;4.39;84.0;4.45;7.3;7.0;9.0;8.0;5.0;3.5;5.0;5.0;4.5;5.0;3.0;4.0;4.0;4.0;;4.0;99.0;4.32;4.8;4.0;3.0;6.0;6.0;5.5;5.5;5.0;6.0;110.0;3.34;8.0;3.55;6.0;4.45;-1.55;4.61;4.32;-0.29;5.47;3.34;-2.13;6.0;2.0;Aut.;4.39;4.0;Very limited;4.45;4.0;Moderate autocracy;4.32;4.0;Very limited;3.34;4.0;Weak;7.4;2.0;Substantial;3.55;4.0;Flawed
2014;132;103.0;4.27;89.0;4.37;7.3;7.0;9.0;8.0;5.0;3.5;6.0;4.0;3.8;4.0;3.0;4.3;4.0;5.0;;4.0;102.0;4.18;4.8;4.0;3.0;6.0;6.0;6.0;5.5;5.0;6.0;109.0;3.61;7.0;3.85;4.45;4.37;-0.08;4.32;4.18;-0.14;3.34;3.61;0.27;6.0;3.0;Aut.;4.27;4.0;Very limited;4.37;4.0;Moderate autocracy;4.18;4.0;Very limited;3.61;4.0;Weak;7.3;2.0;Substantial;3.85;4.0;Flawed
2020;132;81.0;5.04;73.0;5.4;6.8;6.0;8.0;8.0;5.0;5.8;5.0;4.0;4.3;5.0;6.0;4.3;4.0;5.0;4.0;4.0;92.0;4.68;5.3;4.0;5.0;6.0;6.0;7.0;6.0;5.0;7.0;52.0;5.38;7.0;5.75;5.35;5.4;0.05;4.68;4.68;0.0;5.12;5.38;0.25;5.5;0.0;Dem.;5.04;4.0;Very limited;5.4;3.0;Highly defective democracies;4.68;4.0;Very limited;5.38;3.0;Moderate;7.1;2.0;Substantial;5.75;3.0;Fair
2016;132;82.0;4.97;70.0;5.4;7.3;7.0;9.0;8.0;5.0;5.8;5.0;4.0;4.3;5.0;5.5;4.3;4.0;5.0;4.0;4.0;94.0;4.54;5.3;4.0;5.0;6.0;6.0;6.5;5.5;5.0;6.0;68.0;4.86;7.0;5.2;4.37;5.4;1.03;4.18;4.54;0.36;3.61;4.86;1.24;6.0;0.0;Dem.;4.97;4.0;Very limited;5.4;3.0;Highly defective democracy;4.54;4.0;Very limited;4.86;3.0;Moderate;7.0;2.0;Substantial;5.2;3.0;Fair
2022;132;92.0;4.5;81.0;4.57;6.0;5.0;7.0;8.0;4.0;5.3;4.0;3.0;4.3;5.0;3.0;4.3;4.0;5.0;;4.0;94.0;4.43;5.5;4.0;5.0;7.0;6.0;6.5;5.5;5.0;6.0;62.0;4.94;7.0;5.3;5.4;4.57;-0.83;4.68;4.43;-0.25;5.38;4.94;-0.43;4.5;1.0;Aut.;4.5;4.0;Very limited;4.57;4.0;Moderate autocracies;4.43;4.0;Very limited;4.94;3.0;Moderate;7.0;2.0;Substantial;5.3;3.0;Fair
2010;133;68.0;5.56;49.0;6.4;8.3;9.0;9.0;9.0;6.0;6.8;7.0;7.0;5.8;6.0;6.5;4.8;4.0;4.0;7.0;4.0;90.0;4.71;5.0;3.0;6.0;6.0;5.0;7.5;6.0;6.0;6.0;44.0;5.66;7.0;6.08;6.6;6.4;-0.2;4.11;4.71;0.61;5.5;5.66;0.16;7.5;0.0;Dem.;5.56;3.0;Limited;6.4;2.0;Defective democracy;4.71;4.0;Very limited;5.66;2.0;Good;6.8;2.0;Substantial;6.08;2.0;Sound
2018;133;66.0;5.49;45.0;6.45;7.8;9.0;8.0;8.0;6.0;7.3;8.0;7.0;5.8;6.0;7.0;4.5;4.0;4.0;6.0;4.0;91.0;4.54;5.8;4.0;6.0;7.0;6.0;5.0;6.5;6.0;7.0;42.0;5.61;7.0;6.05;6.5;6.45;-0.05;4.61;4.54;-0.07;5.63;5.61;-0.02;7.5;0.0;Dem.;5.49;4.0;Very limited;6.45;2.0;Defective democracy;4.54;4.0;Very limited;5.61;2.0;Good;6.7;2.0;Substantial;6.05;2.0;Sound
2012;133;67.0;5.57;55.0;6.25;8.3;9.0;9.0;9.0;6.0;6.5;6.0;6.0;5.8;6.0;6.0;4.8;4.0;4.0;7.0;4.0;84.0;4.89;5.8;4.0;6.0;7.0;6.0;7.5;6.0;6.0;6.0;36.0;5.86;7.0;6.25;6.4;6.25;-0.15;4.71;4.89;0.18;5.66;5.86;0.2;7.5;0.0;Dem.;5.57;3.0;Limited;6.25;2.0;Defective democracy;4.89;4.0;Very limited;5.86;2.0;Good;7.2;2.0;Substantial;6.25;2.0;Sound
2014;133;58.0;5.77;44.0;6.65;8.3;9.0;10.0;8.0;6.0;7.3;8.0;7.0;6.3;6.0;7.0;4.5;4.0;4.0;6.0;4.0;82.0;4.89;5.8;4.0;6.0;7.0;6.0;6.5;6.5;6.0;7.0;34.0;5.99;7.0;6.45;6.25;6.65;0.4;4.89;4.89;0.0;5.86;5.99;0.13;7.5;0.0;Dem.;5.77;3.0;Limited;6.65;2.0;Defective democracy;4.89;4.0;Very limited;5.99;2.0;Good;6.8;2.0;Substantial;6.45;2.0;Sound
2020;133;67.0;5.41;53.0;6.35;7.5;9.0;8.0;7.0;6.0;7.3;8.0;7.0;5.5;6.0;6.5;5.0;4.0;5.0;6.0;5.0;101.0;4.46;5.8;4.0;6.0;6.0;7.0;5.5;6.5;6.0;7.0;42.0;5.7;7.0;6.12;6.45;6.35;-0.1;4.54;4.46;-0.07;5.61;5.7;0.09;7.5;0.0;Dem.;5.41;4.0;Very limited;6.35;2.0;Defective democracies;4.46;4.0;Very limited;5.7;2.0;Good;6.9;2.0;Substantial;6.12;2.0;Sound
2016;133;65.0;5.55;51.0;6.5;7.8;9.0;8.0;8.0;6.0;7.3;8.0;7.0;6.0;6.0;7.0;4.5;4.0;4.0;6.0;4.0;90.0;4.61;5.8;4.0;6.0;7.0;6.0;5.5;6.5;6.0;7.0;43.0;5.63;7.0;6.05;6.65;6.5;-0.15;4.89;4.61;-0.29;5.99;5.63;-0.36;7.5;0.0;Dem.;5.55;3.0;Limited;6.5;2.0;Defective democracy;4.61;4.0;Very limited;5.63;2.0;Good;6.9;2.0;Substantial;6.05;2.0;Sound
2022;133;62.0;5.47;42.0;6.55;7.8;9.0;9.0;8.0;5.0;7.5;8.0;7.0;6.0;6.0;6.5;5.0;4.0;5.0;6.0;5.0;95.0;4.39;5.8;4.0;6.0;6.0;7.0;5.5;7.0;6.0;8.0;35.0;5.64;5.0;6.12;6.35;6.55;0.2;4.46;4.39;-0.07;5.7;5.64;-0.05;7.0;0.0;Dem.;5.47;4.0;Very limited;6.55;2.0;Defective democracies;4.39;4.0;Very limited;5.64;2.0;Good;6.5;2.0;Substantial;6.12;2.0;Sound
2010;134;47.0;6.18;72.0;5.28;9.0;10.0;9.0;7.0;10.0;4.3;5.0;5.0;5.5;6.0;2.0;5.7;7.0;5.0;;5.0;27.0;7.07;7.0;8.0;5.0;7.0;8.0;7.0;8.0;9.0;7.0;42.0;5.68;6.0;6.5;5.33;5.28;-0.05;7.39;7.07;-0.32;5.57;5.68;0.11;10.0;2.0;Aut.;6.18;3.0;Limited;5.28;4.0;Moderate autocracy;7.07;2.0;Advanced;5.68;2.0;Good;4.3;4.0;Minor;6.5;2.0;Sound
2018;134;53.0;6.0;78.0;4.78;8.0;9.0;8.0;6.0;9.0;3.8;4.0;4.0;4.0;5.0;2.5;5.7;7.0;5.0;;5.0;22.0;7.21;7.5;8.0;6.0;7.0;9.0;7.5;8.0;9.0;7.0;54.0;5.2;6.0;6.0;4.98;4.78;-0.2;7.43;7.21;-0.21;5.46;5.2;-0.26;9.0;3.0;Aut.;6.0;3.0;Limited;4.78;4.0;Moderate autocracy;7.21;2.0;Advanced;5.2;3.0;Moderate;4.0;4.0;Minor;6.0;2.0;Sound
2012;134;48.0;6.13;74.0;5.0;8.5;10.0;9.0;6.0;9.0;4.3;5.0;5.0;5.3;6.0;2.0;5.0;7.0;4.0;;4.0;24.0;7.25;7.3;8.0;6.0;7.0;8.0;7.5;8.0;9.0;7.0;41.0;5.7;6.0;6.52;5.28;5.0;-0.28;7.07;7.25;0.18;5.68;5.7;0.03;9.5;2.0;Aut.;6.13;3.0;Limited;5.0;4.0;Moderate autocracy;7.25;2.0;Advanced;5.7;2.0;Good;4.4;4.0;Minor;6.52;2.0;Sound
2014;134;43.0;6.35;71.0;5.23;8.5;10.0;9.0;6.0;9.0;4.0;4.0;5.0;5.5;6.0;2.5;5.7;7.0;5.0;;5.0;22.0;7.46;7.3;8.0;6.0;7.0;8.0;8.0;8.5;9.0;8.0;43.0;5.65;6.0;6.52;5.0;5.23;0.23;7.25;7.46;0.21;5.7;5.65;-0.05;9.5;2.0;Aut.;6.35;3.0;Limited;5.23;4.0;Moderate autocracy;7.46;2.0;Advanced;5.65;2.0;Good;4.0;4.0;Minor;6.52;2.0;Sound
2020;134;39.0;6.57;63.0;5.85;8.0;9.0;8.0;6.0;9.0;5.5;5.0;6.0;5.5;6.0;5.0;5.3;6.0;5.0;5.0;5.0;21.0;7.29;7.5;7.0;7.0;7.0;9.0;8.0;8.0;9.0;7.0;40.0;5.71;6.0;6.58;4.78;5.85;1.07;7.21;7.29;0.07;5.2;5.71;0.51;9.0;0.0;Dem.;6.57;3.0;Limited;5.85;3.0;Highly defective democracies;7.29;2.0;Advanced;5.71;2.0;Good;4.0;4.0;Minor;6.58;2.0;Sound
2016;134;48.0;6.21;77.0;4.98;8.3;9.0;9.0;6.0;9.0;3.8;4.0;4.0;4.8;5.0;2.5;5.7;7.0;5.0;;5.0;21.0;7.43;7.5;8.0;6.0;7.0;9.0;8.0;8.0;9.0;7.0;47.0;5.46;6.0;6.29;5.23;4.98;-0.25;7.46;7.43;-0.04;5.65;5.46;-0.19;9.0;2.0;Aut.;6.21;3.0;Limited;4.98;4.0;Moderate autocracy;7.43;2.0;Advanced;5.46;3.0;Moderate;4.1;4.0;Minor;6.29;2.0;Sound
2022;134;43.0;6.24;68.0;5.3;8.0;9.0;8.0;6.0;9.0;4.8;4.0;5.0;5.0;5.0;4.0;4.8;5.0;5.0;4.0;5.0;20.0;7.18;7.8;8.0;7.0;7.0;9.0;8.0;8.0;9.0;7.0;54.0;5.15;6.0;5.96;5.85;5.3;-0.55;7.29;7.18;-0.11;5.71;5.15;-0.56;9.0;0.0;Dem.;6.24;3.0;Limited;5.3;3.0;Highly defective democracies;7.18;2.0;Advanced;5.15;3.0;Moderate;3.9;4.0;Minor;5.96;3.0;Fair
2010;136;55.0;5.93;36.0;7.15;6.8;5.0;9.0;8.0;5.0;8.5;9.0;8.0;5.8;8.0;7.5;7.3;5.0;8.0;8.0;8.0;90.0;4.71;5.5;4.0;5.0;6.0;7.0;7.0;6.5;7.0;6.0;28.0;6.16;4.0;6.6;7.25;7.15;-0.1;5.07;4.71;-0.36;6.22;6.16;-0.07;5.0;0.0;Dem.;5.93;3.0;Limited;7.15;2.0;Defective democracy;4.71;4.0;Very limited;6.16;2.0;Good;7.0;2.0;Substantial;6.6;2.0;Sound
2018;136;76.0;5.14;62.0;5.95;5.5;4.0;7.0;6.0;5.0;7.3;8.0;7.0;4.8;6.0;6.0;6.3;4.0;7.0;7.0;7.0;97.0;4.32;5.3;4.0;4.0;6.0;7.0;6.5;5.5;5.0;6.0;57.0;5.17;4.0;5.52;5.85;5.95;0.1;4.5;4.32;-0.18;5.4;5.17;-0.23;4.5;0.0;Dem.;5.14;4.0;Very limited;5.95;3.0;Highly defective democracy;4.32;4.0;Very limited;5.17;3.0;Moderate;7.1;2.0;Substantial;5.52;3.0;Fair
2012;136;50.0;6.09;35.0;7.15;7.0;6.0;9.0;8.0;5.0;8.5;9.0;8.0;5.5;8.0;7.5;7.3;5.0;8.0;8.0;8.0;81.0;5.04;5.8;5.0;5.0;6.0;7.0;7.5;6.0;6.0;6.0;25.0;6.19;4.0;6.67;7.15;7.15;0.0;4.71;5.04;0.32;6.16;6.19;0.03;5.5;0.0;Dem.;6.09;3.0;Limited;7.15;2.0;Defective democracy;5.04;3.0;Limited;6.19;2.0;Good;6.8;2.0;Substantial;6.67;2.0;Sound
2014;136;106.0;4.09;90.0;4.25;4.3;3.0;5.0;5.0;4.0;4.5;7.0;5.0;3.5;4.0;3.0;6.0;4.0;7.0;;7.0;110.0;3.93;5.5;4.0;5.0;6.0;7.0;5.5;5.0;5.0;5.0;89.0;4.19;4.0;4.4;7.15;4.25;-2.9;5.04;3.93;-1.11;6.19;4.19;-2.01;3.5;3.0;Aut.;4.09;4.0;Very limited;4.25;4.0;Moderate autocracy;3.93;4.0;Very limited;4.19;4.0;Weak;7.9;2.0;Substantial;4.4;4.0;Flawed
2020;136;79.0;5.06;65.0;5.8;5.5;4.0;7.0;6.0;5.0;6.8;7.0;6.0;4.5;6.0;6.0;6.3;4.0;7.0;7.0;7.0;104.0;4.32;5.3;4.0;4.0;6.0;7.0;6.5;5.5;5.0;6.0;61.0;5.19;4.0;5.52;5.95;5.8;-0.15;4.32;4.32;0.0;5.17;5.19;0.02;4.5;0.0;Dem.;5.06;4.0;Very limited;5.8;3.0;Highly defective democracies;4.32;4.0;Very limited;5.19;3.0;Moderate;7.3;2.0;Substantial;5.52;3.0;Fair
2016;136;75.0;5.18;62.0;5.85;5.5;5.0;6.0;6.0;5.0;7.0;8.0;7.0;4.8;6.0;6.0;6.0;4.0;7.0;6.0;7.0;96.0;4.5;5.5;4.0;5.0;6.0;7.0;6.5;5.5;5.0;6.0;49.0;5.4;3.0;5.78;4.25;5.85;1.6;3.93;4.5;0.57;4.19;5.4;1.21;5.0;0.0;Dem.;5.18;4.0;Very limited;5.85;3.0;Highly defective democracy;4.5;4.0;Very limited;5.4;3.0;Moderate;7.0;2.0;Substantial;5.78;3.0;Fair
2022;136;97.0;4.36;84.0;4.4;5.3;3.0;7.0;6.0;5.0;4.0;6.0;6.0;3.8;4.0;3.0;6.0;4.0;7.0;;7.0;98.0;4.32;5.3;4.0;4.0;6.0;7.0;6.5;5.5;5.0;6.0;77.0;4.66;4.0;4.9;5.8;4.4;-1.4;4.32;4.32;0.0;5.19;4.66;-0.53;4.0;3.0;Aut.;4.36;4.0;Very limited;4.4;4.0;Moderate autocracies;4.32;4.0;Very limited;4.66;3.0;Moderate;7.8;2.0;Substantial;4.9;4.0;Flawed
2010;140;110.0;3.73;104.0;3.63;5.3;5.0;6.0;4.0;6.0;3.8;6.0;6.0;3.5;5.0;2.0;3.7;4.0;3.0;;4.0;112.0;3.82;3.8;3.0;2.0;6.0;4.0;4.0;4.5;4.0;5.0;106.0;3.45;8.0;3.62;4.47;3.63;-0.83;4.36;3.82;-0.54;5.39;3.45;-1.94;5.5;3.0;Aut.;3.73;5.0;Failed;3.63;5.0;Hard-line autocracy;3.82;4.0;Very limited;3.45;4.0;Weak;7.9;2.0;Substantial;3.62;4.0;Flawed
2018;140;99.0;4.22;86.0;4.22;6.0;8.0;6.0;4.0;6.0;4.3;6.0;6.0;4.0;5.0;2.5;4.3;5.0;4.0;;4.0;100.0;4.21;3.5;3.0;2.0;5.0;4.0;5.5;4.5;5.0;4.0;90.0;4.06;8.0;4.33;4.27;4.22;-0.05;4.43;4.21;-0.21;4.2;4.06;-0.14;7.0;3.0;Aut.;4.22;4.0;Very limited;4.22;4.0;Moderate autocracy;4.21;4.0;Very limited;4.06;4.0;Weak;7.2;2.0;Substantial;4.33;4.0;Flawed
2012;140;99.0;4.41;83.0;4.5;5.5;6.0;6.0;4.0;6.0;5.5;8.0;7.0;4.5;6.0;3.0;4.0;4.0;4.0;;4.0;99.0;4.32;3.8;3.0;2.0;6.0;4.0;5.5;5.0;5.0;5.0;82.0;4.46;8.0;4.7;3.63;4.5;0.87;3.82;4.32;0.5;3.45;4.46;1.01;6.0;2.0;Aut.;4.41;4.0;Very limited;4.5;4.0;Moderate autocracy;4.32;4.0;Very limited;4.46;3.0;Moderate;7.7;2.0;Substantial;4.7;4.0;Flawed
2014;140;100.0;4.36;86.0;4.4;5.8;7.0;6.0;4.0;6.0;4.8;7.0;7.0;4.5;6.0;3.0;4.0;4.0;4.0;;4.0;97.0;4.32;3.8;3.0;2.0;6.0;4.0;5.5;5.0;5.0;5.0;94.0;4.06;8.0;4.3;4.5;4.4;-0.1;4.32;4.32;0.0;4.46;4.06;-0.4;6.5;2.0;Aut.;4.36;4.0;Very limited;4.4;4.0;Moderate autocracy;4.32;4.0;Very limited;4.06;4.0;Weak;7.5;2.0;Substantial;4.3;4.0;Flawed
2020;140;102.0;4.22;91.0;4.27;6.3;9.0;6.0;4.0;6.0;4.3;6.0;6.0;4.0;5.0;2.5;4.3;5.0;4.0;;4.0;106.0;4.18;3.8;3.0;2.0;5.0;5.0;5.5;5.0;5.0;5.0;98.0;4.0;8.0;4.25;4.22;4.27;0.05;4.21;4.18;-0.04;4.06;4.0;-0.06;7.5;3.0;Aut.;4.22;4.0;Very limited;4.27;4.0;Moderate autocracies;4.18;4.0;Very limited;4.0;4.0;Weak;7.3;2.0;Substantial;4.25;4.0;Flawed
2016;140;98.0;4.35;85.0;4.27;6.0;8.0;6.0;4.0;6.0;4.5;6.0;7.0;4.0;5.0;2.5;4.3;5.0;4.0;;4.0;98.0;4.43;3.5;3.0;2.0;5.0;4.0;5.5;5.0;5.0;5.0;89.0;4.2;8.0;4.47;4.4;4.27;-0.13;4.32;4.43;0.11;4.06;4.2;0.14;7.0;3.0;Aut.;4.35;4.0;Very limited;4.27;4.0;Moderate autocracy;4.43;4.0;Very limited;4.2;4.0;Weak;7.3;2.0;Substantial;4.47;4.0;Flawed
2022;140;99.0;4.3;82.0;4.42;5.8;8.0;6.0;4.0;5.0;4.8;7.0;6.0;4.3;5.0;3.0;4.3;5.0;4.0;;4.0;100.0;4.18;3.8;3.0;2.0;5.0;5.0;5.5;5.0;5.0;5.0;94.0;4.0;8.0;4.25;4.27;4.42;0.15;4.18;4.18;0.0;4.0;4.0;0.0;6.5;3.0;Aut.;4.3;4.0;Very limited;4.42;4.0;Moderate autocracies;4.18;4.0;Very limited;4.0;4.0;Weak;7.3;2.0;Substantial;4.25;4.0;Flawed
2010;141;18.0;7.94;17.0;8.45;9.0;10.0;9.0;8.0;9.0;8.8;9.0;9.0;8.3;8.0;9.0;7.3;7.0;7.0;8.0;7.0;22.0;7.43;7.0;7.0;7.0;7.0;7.0;7.0;8.5;9.0;8.0;10.0;6.94;4.0;8.17;8.8;8.45;-0.35;7.86;7.43;-0.43;7.13;6.94;-0.19;9.5;0.0;Dem.;7.94;2.0;Advanced;8.45;1.0;Democracy in consolidation;7.43;2.0;Advanced;6.94;2.0;Good;3.2;4.0;Minor;8.17;1.0;Excellent
2018;141;13.0;8.25;12.0;8.5;9.0;10.0;9.0;8.0;9.0;8.8;9.0;7.0;8.3;8.0;9.0;7.5;8.0;8.0;9.0;5.0;15.0;8.0;8.5;9.0;7.0;9.0;9.0;9.0;8.5;8.0;9.0;13.0;6.64;4.0;7.96;8.6;8.5;-0.1;7.57;8.0;0.43;6.74;6.64;-0.1;9.5;0.0;Dem.;8.25;2.0;Advanced;8.5;1.0;Democracy in consolidation;8.0;1.0;Highly advanced;6.64;2.0;Good;2.6;4.0;Minor;7.96;2.0;Sound
2012;141;17.0;8.11;15.0;8.53;9.3;10.0;9.0;9.0;9.0;8.8;8.0;8.0;8.0;8.0;9.0;7.7;8.0;8.0;;7.0;20.0;7.68;7.8;8.0;7.0;8.0;8.0;8.5;8.5;9.0;8.0;9.0;6.99;3.0;8.23;8.45;8.53;0.08;7.43;7.68;0.25;6.94;6.99;0.05;9.5;0.0;Dem.;8.11;2.0;Advanced;8.53;1.0;Democracy in consolidation;7.68;2.0;Advanced;6.99;2.0;Good;3.2;4.0;Minor;8.23;1.0;Excellent
2014;141;15.0;8.11;13.0;8.55;9.0;10.0;9.0;8.0;9.0;9.0;9.0;8.0;8.0;8.0;9.0;7.8;8.0;8.0;8.0;7.0;21.0;7.68;8.3;8.0;7.0;9.0;9.0;8.0;8.0;8.0;8.0;15.0;6.65;4.0;7.9;8.53;8.55;0.02;7.68;7.68;0.0;6.99;6.65;-0.34;9.5;0.0;Dem.;8.11;2.0;Advanced;8.55;1.0;Democracy in consolidation;7.68;2.0;Advanced;6.65;2.0;Good;2.9;4.0;Minor;7.9;2.0;Sound
2020;141;12.0;8.26;11.0;8.6;9.3;10.0;9.0;8.0;10.0;8.8;9.0;7.0;8.3;8.0;9.0;7.8;8.0;8.0;9.0;6.0;14.0;7.93;8.5;9.0;7.0;9.0;9.0;9.0;9.0;8.0;10.0;10.0;6.73;4.0;8.1;8.5;8.6;0.1;8.0;7.93;-0.07;6.64;6.73;0.09;10.0;0.0;Dem.;8.26;2.0;Advanced;8.6;1.0;Democracies in consolidation;7.93;2.0;Advanced;6.73;2.0;Good;2.4;5.0;Negligible;8.1;1.0;Excellent
